,month_year,cbsa_code,site,sample
852,10-2016,31080,4002,8.049999999999999
847,10-2016,31080,1201,6.540000000000001
848,10-2016,31080,1302,7.3999999999999995
849,10-2016,31080,1602,9.33
850,10-2016,31080,2005,7.970000000000001
851,10-2016,31080,2022,7.12
845,10-2016,31080,0007,7.676923076923076
727,09-2016,16980,3301,7.75
729,09-2016,16980,4007,6.4125
728,09-2016,16980,4002,7.35
723,09-2016,16980,1011,5.24
726,09-2016,16980,3103,7.506666666666665
725,09-2016,16980,2004,6.839999999999999
724,09-2016,16980,1016,8.54
731,09-2016,16980,6005,6.859999999999999
730,09-2016,16980,4201,6.800000000000001
741,09-2016,19820,0001,7.467499999999997
732,09-2016,17460,0004,5.9
733,09-2016,17460,0007,5.426666666666667
734,09-2016,17460,0034,5.333333333333333
735,09-2016,17460,0038,7.940000000000002
736,09-2016,17460,0045,6.610000000000001
737,09-2016,17460,0060,7.188888888888887
738,09-2016,17460,0065,8.35
739,09-2016,17460,1002,5.380000000000001
740,09-2016,17460,3002,5.053333333333334
721,09-2016,16980,0076,6.58
722,09-2016,16980,1002,8.000000000000002
711,09-2016,16980,0003,6.95
720,09-2016,16980,0057,7.0
719,09-2016,16980,0052,6.970000000000001
743,09-2016,19820,0009,6.08
700,09-2016,10300,0007,5.800000000000001
701,09-2016,10420,0002,5.36
702,09-2016,10420,0017,8.147310344827591
703,09-2016,10420,0023,6.044444444444445
704,09-2016,11460,0008,6.3133333333333335
705,09-2016,12100,0006,6.255148095909734
706,09-2016,12100,1006,6.709999999999999
707,09-2016,15180,0006,8.26
708,09-2016,15940,0017,8.233333333333336
709,09-2016,15940,0020,6.900000000000001
710,09-2016,16980,0001,6.975
712,09-2016,16980,0006,6.850000000000001
713,09-2016,16980,0007,7.550000000000001
714,09-2016,16980,0019,4.9
715,09-2016,16980,0022,8.816212534059956
716,09-2016,16980,0024,4.806206896551724
717,09-2016,16980,0026,8.309999999999999
718,09-2016,16980,0031,7.4
742,09-2016,19820,0005,6.17
744,09-2016,19820,0015,8.419999999999998
787,09-2016,47220,0007,6.256195965417877
766,09-2016,31080,4008,14.650070521861759
768,09-2016,32580,0043,9.0
769,09-2016,32580,1046,12.819999999999999
770,09-2016,33140,0011,6.409999999999999
771,09-2016,33780,0006,6.32
772,09-2016,37100,0007,11.06136680613668
773,09-2016,37100,0009,11.497206703910615
774,09-2016,37100,1004,9.978805394990365
775,09-2016,37100,2002,10.388399412628488
777,09-2016,39740,0011,9.739658444022757
778,09-2016,40140,0009,12.316778523489933
779,09-2016,40140,0027,15.480428954423585
780,09-2016,40140,0306,5.4577714691270405
781,09-2016,40140,1016,11.349585635359116
782,09-2016,40140,2002,9.044444444444444
783,09-2016,40140,5001,5.480000000000001
784,09-2016,40140,8001,11.409999999999998
785,09-2016,40140,8005,13.294117647058826
786,09-2016,40140,9004,10.1
745,09-2016,19820,0016,7.139999999999999
767,09-2016,31080,9033,7.132916666666661
776,09-2016,37100,3001,10.541125541125542
765,09-2016,31080,4004,9.256666666666668
755,09-2016,22420,0021,5.930000000000001
764,09-2016,31080,4002,10.759999999999998
747,09-2016,19820,0025,6.609999999999999
748,09-2016,19820,0033,9.313333333333333
749,09-2016,19820,0036,6.055555555555555
750,09-2016,19820,0039,7.456666666666668
751,09-2016,19820,0093,10.277001455604047
752,09-2016,19820,0095,5.684724409448838
753,09-2016,20100,0002,6.019119669876207
754,09-2016,20100,0003,5.2375
746,09-2016,19820,0019,6.58
756,09-2016,31080,0002,10.160000000000002
757,09-2016,31080,0007,9.48
758,09-2016,31080,1103,11.48235294117647
759,09-2016,31080,1201,8.25
760,09-2016,31080,1302,10.3375
761,09-2016,31080,1602,11.210000000000003
762,09-2016,31080,2005,8.766666666666667
763,09-2016,31080,2022,7.7444444444444445
639,08-2016,16980,3301,8.155555555555555
642,08-2016,16980,4201,7.444444444444445
641,08-2016,16980,4007,8.316666666666666
640,08-2016,16980,4002,7.849999999999999
635,08-2016,16980,1011,6.980000000000001
638,08-2016,16980,3103,9.914285714285715
637,08-2016,16980,2004,7.5181818181818185
636,08-2016,16980,1016,10.643749999999997
644,08-2016,17460,0004,5.881818181818182
643,08-2016,16980,6005,11.299999999999999
648,08-2016,17460,0045,7.681818181818182
645,08-2016,17460,0007,6.68125
646,08-2016,17460,0034,7.4363636363636365
647,08-2016,17460,0038,8.745454545454548
633,08-2016,16980,0076,10.22
649,08-2016,17460,0060,9.409090909090908
650,08-2016,17460,0065,10.045454545454545
651,08-2016,17460,1002,6.4
652,08-2016,17460,3002,5.78
653,08-2016,19820,0001,7.578378378378381
634,08-2016,16980,1002,7.772727272727272
655,08-2016,19820,0009,6.872727272727274
612,08-2016,10300,0007,6.336363636363638
632,08-2016,16980,0057,10.639999999999999
613,08-2016,10420,0002,7.119999999999999
614,08-2016,10420,0017,7.809838274932616
615,08-2016,10420,0023,7.0636363636363635
616,08-2016,11460,0008,6.89375
617,08-2016,12100,0006,7.051017639077335
618,08-2016,12100,1006,6.9818181818181815
619,08-2016,15180,0006,10.720000000000002
620,08-2016,15940,0017,7.925000000000002
621,08-2016,15940,0020,7.381818181818184
622,08-2016,16980,0001,10.18
623,08-2016,16980,0003,7.5636363636363635
624,08-2016,16980,0006,7.6
625,08-2016,16980,0007,7.354545454545454
626,08-2016,16980,0019,6.44
627,08-2016,16980,0022,7.992529488859762
628,08-2016,16980,0024,5.923117569352706
629,08-2016,16980,0026,9.036363636363637
630,08-2016,16980,0031,8.40625
631,08-2016,16980,0052,6.666666666666666
654,08-2016,19820,0005,6.854545454545455
679,08-2016,31080,9033,9.415135135135138
656,08-2016,19820,0015,11.654545454545456
678,08-2016,31080,4008,15.22546583850932
681,08-2016,32580,1046,11.07
682,08-2016,33140,0011,6.454545454545454
683,08-2016,33780,0006,7.163636363636363
684,08-2016,37100,0007,13.523616734143049
685,08-2016,37100,0009,12.519515477792732
686,08-2016,37100,1004,10.306342780026991
687,08-2016,37100,2002,12.759946055293325
688,08-2016,37100,3001,8.455525606469003
689,08-2016,39740,0011,9.803937007874032
690,08-2016,40140,0009,13.141318977119784
691,08-2016,40140,0027,17.875488917861798
692,08-2016,40140,0306,8.380176510522743
693,08-2016,40140,1016,14.346540027137042
694,08-2016,40140,2002,11.140909090909092
695,08-2016,40140,5001,8.145454545454545
696,08-2016,40140,8001,12.0325
697,08-2016,40140,8005,13.188888888888888
698,08-2016,40140,9004,12.118181818181817
657,08-2016,19820,0016,9.129999999999999
680,08-2016,32580,0043,8.66
699,08-2016,47220,0007,7.445625841184383
677,08-2016,31080,4004,9.35925925925926
666,08-2016,20100,0003,6.636363636363638
676,08-2016,31080,4002,10.306451612903224
659,08-2016,19820,0025,7.981818181818181
660,08-2016,19820,0033,8.8375
661,08-2016,19820,0036,7.74
662,08-2016,19820,0039,8.051851851851852
663,08-2016,19820,0093,11.927489481065903
664,08-2016,19820,0095,6.834759358288772
665,08-2016,20100,0002,6.247682119205298
658,08-2016,19820,0019,6.9
667,08-2016,22420,0021,6.218181818181819
669,08-2016,31080,0007,8.948148148148148
670,08-2016,31080,1103,12.138888888888886
671,08-2016,31080,1201,9.590909090909092
672,08-2016,31080,1302,9.70909090909091
673,08-2016,31080,1602,11.245454545454546
674,08-2016,31080,2005,9.981818181818182
675,08-2016,31080,2022,8.959999999999999
668,08-2016,31080,0002,12.42727272727273
554,07-2016,16980,4201,8.025
556,07-2016,17460,0004,8.174999999999999
555,07-2016,16980,6005,8.84
551,07-2016,16980,3301,10.2
553,07-2016,16980,4007,9.444444444444445
552,07-2016,16980,4002,8.633333333333333
558,07-2016,17460,0034,8.639999999999999
550,07-2016,16980,3103,10.18
557,07-2016,17460,0007,8.978571428571428
562,07-2016,17460,0065,11.68
559,07-2016,17460,0038,10.819999999999997
560,07-2016,17460,0045,10.86
561,07-2016,17460,0060,10.95
563,07-2016,17460,1002,9.879999999999999
564,07-2016,17460,3002,8.586666666666668
565,07-2016,19820,0001,9.1
566,07-2016,19820,0005,7.709090909090909
549,07-2016,16980,2004,8.950000000000001
568,07-2016,19820,0015,17.6
567,07-2016,19820,0009,8.5
540,07-2016,16980,0024,8.164257555847541
548,07-2016,16980,1016,11.516666666666667
536,07-2016,16980,0006,8.94
570,07-2016,19820,0019,8.055555555555555
529,07-2016,12100,0006,9.184786053882721
530,07-2016,12100,1006,8.522222222222222
531,07-2016,15180,0006,10.34
532,07-2016,15940,0017,10.626666666666665
533,07-2016,15940,0020,9.309999999999999
534,07-2016,16980,0001,7.9300000000000015
535,07-2016,16980,0003,7.955555555555555
537,07-2016,16980,0007,8.3
547,07-2016,16980,1011,7.840000000000001
538,07-2016,16980,0019,7.58
539,07-2016,16980,0022,10.073890339425587
541,07-2016,16980,0026,9.969999999999999
542,07-2016,16980,0031,9.346666666666666
543,07-2016,16980,0052,9.139999999999999
544,07-2016,16980,0057,8.940000000000001
545,07-2016,16980,0076,8.940000000000001
546,07-2016,16980,1002,8.225
569,07-2016,19820,0016,8.719999999999999
591,07-2016,31080,9033,13.802564102564109
571,07-2016,19820,0025,8.459999999999999
603,07-2016,40140,0027,18.280683311432306
595,07-2016,33780,0006,7.640000000000001
596,07-2016,37100,0007,11.89054054054054
597,07-2016,37100,0009,13.886486486486486
598,07-2016,37100,1004,11.332432432432432
599,07-2016,37100,2002,12.404040404040405
600,07-2016,37100,3001,8.560646900269541
601,07-2016,39740,0011,11.744095665171915
602,07-2016,40140,0009,12.144196428571428
604,07-2016,40140,0306,8.367097701149426
572,07-2016,19820,0033,11.020000000000003
605,07-2016,40140,1016,12.889098837209303
606,07-2016,40140,2002,13.829999999999998
607,07-2016,40140,5001,8.18888888888889
608,07-2016,40140,8001,14.519999999999996
609,07-2016,40140,8005,15.622222222222225
610,07-2016,40140,9004,16.49
611,07-2016,47220,0007,9.241970310391363
527,07-2016,10420,0023,8.54
594,07-2016,33140,0011,9.530000000000001
593,07-2016,32580,1046,9.016666666666667
592,07-2016,32580,0043,12.999999999999998
590,07-2016,31080,4008,14.816262482168334
573,07-2016,19820,0036,7.4799999999999995
574,07-2016,19820,0039,8.421052631578947
575,07-2016,19820,0093,12.251373626373587
576,07-2016,19820,0095,9.0
577,07-2016,20100,0002,9.219628647214853
578,07-2016,20100,0003,8.71
579,07-2016,22420,0021,6.711111111111112
580,07-2016,31080,0002,14.520000000000001
581,07-2016,31080,0007,9.619354838709679
582,07-2016,31080,1103,11.927777777777779
583,07-2016,31080,1201,9.85
584,07-2016,31080,1302,9.98
585,07-2016,31080,1602,11.48
586,07-2016,31080,2005,11.460000000000003
587,07-2016,31080,2022,8.81
588,07-2016,31080,4002,10.126666666666665
589,07-2016,31080,4004,8.899999999999999
528,07-2016,11460,0008,8.013333333333334
526,07-2016,10420,0017,10.59522546419098
524,07-2016,10300,0007,8.214285714285714
525,07-2016,10420,0002,8.639999999999999
459,06-2016,16980,1011,8.1
468,06-2016,17460,0004,7.360000000000001
458,06-2016,16980,1002,7.12
460,06-2016,16980,1016,9.963636363636363
461,06-2016,16980,2004,8.59
462,06-2016,16980,3103,8.561538461538463
463,06-2016,16980,3301,8.600000000000001
464,06-2016,16980,4002,8.49
465,06-2016,16980,4007,8.53
466,06-2016,16980,4201,6.614285714285714
467,06-2016,16980,6005,7.619999999999999
469,06-2016,17460,0007,6.678571428571429
456,06-2016,16980,0057,7.3
471,06-2016,17460,0038,9.788235294117646
472,06-2016,17460,0045,11.84
473,06-2016,17460,0060,9.079999999999998
474,06-2016,17460,0065,11.27
475,06-2016,17460,1002,8.27
476,06-2016,17460,3002,6.776923076923078
477,06-2016,19820,0001,8.370000000000001
478,06-2016,19820,0005,5.822222222222223
457,06-2016,16980,0076,7.7
455,06-2016,16980,0052,7.7444444444444445
480,06-2016,19820,0015,11.02
444,06-2016,15940,0017,9.173333333333334
436,06-2016,10300,0007,6.7299999999999995
437,06-2016,10420,0002,7.080000000000001
438,06-2016,10420,0017,8.426104972375704
439,06-2016,10420,0023,8.38888888888889
440,06-2016,11460,0008,7.64
441,06-2016,12100,0006,7.668033946251759
442,06-2016,12100,1006,7.49
443,06-2016,15180,0006,9.499999999999998
445,06-2016,15940,0020,9.1
454,06-2016,16980,0031,9.307142857142855
446,06-2016,16980,0001,7.2
447,06-2016,16980,0003,7.2666666666666675
448,06-2016,16980,0006,10.36
449,06-2016,16980,0007,8.1
450,06-2016,16980,0019,5.66
451,06-2016,16980,0022,7.614372163388819
452,06-2016,16980,0024,6.830909090909097
453,06-2016,16980,0026,9.544444444444444
479,06-2016,19820,0009,6.28
470,06-2016,17460,0034,8.080000000000002
481,06-2016,19820,0016,7.749999999999998
513,06-2016,39740,0011,12.40801630434783
504,06-2016,32580,0043,9.0
505,06-2016,32580,1046,8.799999999999999
506,06-2016,33140,0011,7.640000000000001
507,06-2016,33780,0006,7.17
508,06-2016,37100,0007,12.99025069637883
509,06-2016,37100,0009,12.510460251046025
510,06-2016,37100,1004,13.428790199081163
482,06-2016,19820,0019,7.7799999999999985
512,06-2016,37100,3001,10.098885793871867
514,06-2016,40140,0009,12.572625698324023
502,06-2016,31080,4008,15.20307101727448
515,06-2016,40140,0027,16.73552188552188
516,06-2016,40140,0306,6.98249299719888
517,06-2016,40140,1016,13.647839506172838
518,06-2016,40140,2002,12.315000000000001
519,06-2016,40140,5001,9.575
520,06-2016,40140,8001,12.5725
521,06-2016,40140,8005,14.511764705882348
522,06-2016,40140,9004,13.011111111111111
523,06-2016,47220,0007,7.609130434782601
503,06-2016,31080,9033,10.745972222222225
511,06-2016,37100,2002,13.509078212290502
501,06-2016,31080,4004,9.733333333333333
491,06-2016,22420,0021,6.119999999999999
500,06-2016,31080,4002,10.986206896551725
484,06-2016,19820,0033,10.033333333333333
