Date,Open,High,Low,Close*,Adj Close**,Volume
1-Feb-15,76.48,82.43,75.96,79.02,64.4,"482,396,800"
1-Jan-15,78.73,79.79,71.7,75.55,61.57,"661,937,100"
1-Dec-14,79.39,82.61,72.51,79.16,64.12,"781,838,600"
1-Nov-14,87.48,89.22,79.58,79.82,64.65,"420,955,300"
1-Oct-14,90.61,91.06,77.51,87.42,70.81,"768,998,500"
1-Sep-14,98.6,98.69,90.06,90.62,73.02,"262,542,000"
1-Aug-14,96.36,98.87,94.49,98.74,79.56,"185,743,000"
1-Jul-14,100.35,100.97,96.56,96.63,77.86,"185,253,500"
1-Jun-14,95.4,101.52,94.92,100.1,80.29,"181,265,500"
1-May-14,93.61,95.43,92.93,95.31,76.45,"159,239,500"
1-Apr-14,89.09,94.66,88.22,93.74,75.19,"236,318,700"
1-Mar-14,87.12,89.59,85.97,89.06,71.08,"209,073,300"
1-Feb-14,83.3,88.48,81.78,87.65,69.96,"258,023,600"
1-Jan-14,87.98,88.24,83.03,83.38,66.55,"265,078,800"
1-Dec-13,86.53,88.54,84.74,88.51,70.32,"223,098,900"
1-Nov-13,86.36,88.24,85,86.44,68.67,"191,308,800"
1-Oct-13,82.68,87.62,81.31,86.39,68.63,"242,185,700"
1-Sep-13,82.39,85.74,81.77,82.91,65.56,"173,557,100"
1-Aug-13,83.09,83.85,79.83,81.57,64.5,"187,728,600"
1-Jul-13,78.79,83.96,78.35,82.42,65.18,"202,353,100"
1-Jun-13,80.8,81.9,76.02,78.3,61.62,"273,290,600"
1-May-13,77.6,83.95,76.96,80.5,63.35,"262,859,500"
1-Apr-13,79.31,79.62,73.52,78.27,61.6,"304,250,000"
1-Mar-13,77.38,80.14,76.85,79.31,62.14,"177,628,200"
1-Feb-13,77.76,79.51,75.46,77.69,60.87,"199,333,200"
1-Jan-13,72.95,78.59,72,77.35,60.6,"195,100,300"
1-Dec-12,71.6,73.39,69.57,71.42,55.67,"198,245,000"
1-Nov-12,71.66,73.06,67.77,71.06,55.39,"234,855,900"
1-Oct-12,73.94,75.19,71.02,71.94,56.08,"236,902,800"
1-Sep-12,71.46,77.35,70.4,73.43,56.99,"206,863,800"
